Original Sentence,Cleaned Sentence,Predefined Topic,BERTopic Topic,Topic Probability
"Normalmente hacíamos una línea de ida pa comer en la punta de aquel surco, era muy largo, tenía más de milla de largo y de regreso la otra milla ya para irnos al campo en la tarde",normalmente hacíamos línea ida pa comer punta aquel surco largo milla largo regreso milla irnos campo tarde,Return and Reflections / Retorno y reflexiones,-1,0.0
"AM:	Pues me siento bien, me siento orgulloso porque tuve el gusto, disfruté mis aventuras, mi vida de un modo y de otro",pues siento bien siento orgulloso gusto disfruté aventuras vida modo,Return and Reflections / Retorno y reflexiones,297,0.5981779405472907
"Yo no me siento orgulloso de aquí de mi pueblo, pero sí me siento bien, porque alguna gente sí, sí, sí me respeta, sí me valora",siento orgulloso aquí pueblo siento bien alguna gente respeta valora,Return and Reflections / Retorno y reflexiones,297,0.6528099026866604
"Ahora me pongo yo a pensar, si hubiera, se hubiera dado cuenta de los teléfonos, había sido más…  AA:	Impactante",ahora pongo pensar si dado cuenta teléfonos sido aa impactante,Return and Reflections / Retorno y reflexiones,235,0.8049358991400659
"AA:	¿Qué cambios cree usted que haya habido después de que él estaba aquí, cuando él mandaba dinero",aa cambios cree usted después aquí mandaba dinero,Return and Reflections / Retorno y reflexiones,1,0.9295011992813831
"Entonces me vino a la mente que yéndome para allá que se ganaba un mejor sueldo, yo podía, al regreso yo podía comprarme dónde vivir y con qué poder trabajar propiamente",entonces vino mente yéndome allá ganaba mejor sueldo podía regreso podía comprarme dónde vivir poder trabajar propiamente,Return and Reflections / Retorno y reflexiones,-1,0.0
"Entonces por ahí un coyote me dijo, dice: “Mira”, dice este, “por $150”, dice, “yo te, yo te arreglo y si no te arreglo, te regreso tu dinero”",entonces ahí coyote dijo dice mira dice 150 dice arreglo si arreglo regreso dinero,Return and Reflections / Retorno y reflexiones,135,0.751010744014351
", ¿cómo fue su vida después de ser bracero en México",cómo vida después ser bracero méxico,Return and Reflections / Retorno y reflexiones,45,0.8082299348090821
"A mí me da orgullo porque fue de esa manera como yo vine a este país, y yo te hablo con toda la verdad, yo fui honesto en mi trabajo, en mi casa, con mis hijos",da orgullo manera vine país hablo toda verdad honesto trabajo casa hijos,Return and Reflections / Retorno y reflexiones,395,1.0
"Ahora nos sentimos orgullosos de haber, de poder haber venido a ayudar a esta nación, porque sí jue una ayuda para esta nación, levantarles los trabajos que no podían levantar aquí la gente de aquí, porque se fueron a la guerra",ahora sentimos orgullosos haber poder haber venido ayudar nación jue ayuda nación levantarles trabajos podían levantar aquí gente aquí guerra,Return and Reflections / Retorno y reflexiones,-1,0.0
"Es que hay, desde el punto de vista nomás que trate uno, que se exprese uno mal de alguna persona, con eso ya hiere uno a otros, lastima uno pues su orgullo, su pride de otra persona",punto vista nomás trate exprese mal alguna persona hiere lastima pues orgullo pride persona,Return and Reflections / Retorno y reflexiones,-1,0.0
"IN:	Fairness es igual a regular, fíjese, pero el respeto sí, no lastimar el pride, o sea el orgullo de la persona",fairness igual regular fíjese respeto lastimar pride orgullo persona,Return and Reflections / Retorno y reflexiones,-1,0.0
"Pos llegué al pueblito ahí, ya llegué sacando las actas de nacimiento, actas de policía y todas esas cosas y me fui a la embajada y a ver qué cambios hubo",pos llegué pueblito ahí llegué sacando actas nacimiento actas policía todas cosas embajada ver cambios,Return and Reflections / Retorno y reflexiones,125,0.07807352300236753
"Fue cuando la Segunda Guerra Mundial, necesitaban gente, pues me tocó dar servicio aquí con mis brazos y me siento orgulloso de haber sido bracero y me siento orgulloso de estar aquí también, de haberme emigrado y ahora soy ciudadano, ¿qué más pido",segunda guerra mundial necesitaban gente pues tocó dar servicio aquí brazos siento orgulloso haber sido bracero siento orgulloso aquí haberme emigrado ahora ciudadano pido,Return and Reflections / Retorno y reflexiones,-1,0.0
"Es muy distinto, bueno, ser un bracero, pues estoy orgulloso de haber sido bracero y, pero de que, cuando me emigré, pues tiene que cambiar todo mucho",distinto bueno ser bracero pues orgulloso haber sido bracero emigré pues cambiar,Return and Reflections / Retorno y reflexiones,297,1.0
"AA:	A su papá cuando le preguntan si fue bracero, ¿lo admite con orgullo",aa papá preguntan si bracero admite orgullo,Return and Reflections / Retorno y reflexiones,10,0.9706219588023447
"MD:	Pues se le vienen muchos recuerdos y cómo le diré, no sé, como que se siente orgulloso de haber trabajado en esas tierras",md pues vienen recuerdos cómo diré sé orgulloso haber trabajado tierras,Return and Reflections / Retorno y reflexiones,-1,0.0
"well, with the same attention with which she had given me her consent and her blessing to come on one occasion, I returned",well attention given consent blessing come one occasion returned,Return and Reflections / Retorno y reflexiones,-1,0.0
I returned for two weeks and I came to work again with the same boss doing the same work,returned two weeks came work boss work,Return and Reflections / Retorno y reflexiones,249,1.0
"So I asked the boss to take me to buy clothes, and he told me, “I am going to take you and I am going to tell you how to return on the bus, but I cannot wait for you",asked boss take buy clothes told going take going tell return bus cannot wait,Return and Reflections / Retorno y reflexiones,22,0.9021919055548612
He asked me for the money and he returned around eleven at night with other morenos and they started to bang hard on my door with some iron rails,asked money returned around eleven night morenos started bang hard door iron rails,Return and Reflections / Retorno y reflexiones,1,0.8124981430470722
"I said that I would not return to Texas because if they had gotten me I wouldn’t be here today, here, in this interview",said would return texas gotten wouldnt today interview,Return and Reflections / Retorno y reflexiones,16,0.624743283931739
They said that if we got our residency they would lose us and we wouldn’t return to see them and they didn’t want us to get our residency,said got residency would lose us wouldnt return see didnt want us get residency,Return and Reflections / Retorno y reflexiones,-1,0.0
ML:	Did your boss arrange transportation to return to México,ml boss arrange transportation return méxico,Return and Reflections / Retorno y reflexiones,111,0.31185928992681855
"So when I returned, I put myself in charge of caring for my mom’s mom and one of my sisters",returned put charge caring moms mom one sisters,Return and Reflections / Retorno y reflexiones,366,1.0
I accumulated a small amount of capital so I thought that I didn’t need to return to the United States anymore,accumulated small amount capital thought didnt need return united states anymore,Return and Reflections / Retorno y reflexiones,1,1.0
JL:	My uncle came illegally to Chicago in [19]56 and after he returned illegally he got married,jl uncle came illegally chicago 1956 returned illegally got married,Return and Reflections / Retorno y reflexiones,106,0.014121481002522786
"Póngame a prueba y si le funciono bien, y si no, pues me regreso aquí”",póngame prueba si funciono bien si pues regreso aquí,Return and Reflections / Retorno y reflexiones,88,0.5434388882910285
LM:	¿Se siente usted orgulloso de haber sido bracero,lm usted orgulloso haber sido bracero,Return and Reflections / Retorno y reflexiones,297,0.9511824038349099
"AF:	No, no, orgulloso no, porque, bueno, hay una cosa, no sé cómo explicarme, para mí fue un beneficio que yo necesitaba en ese tiempo",af orgulloso bueno cosa sé cómo explicarme beneficio necesitaba tiempo,Return and Reflections / Retorno y reflexiones,40,0.5277587536769682
"Necesitaba el trabajo donde fuera, pero así que yo diga: “Me siento orgulloso de haber venido de bracero, y quiero volverme ir a ver, no, la verdad no, la verdad no porque se sufre muchísimo",necesitaba trabajo así diga siento orgulloso haber venido bracero quiero volverme ir ver verdad verdad sufre muchísimo,Return and Reflections / Retorno y reflexiones,295,0.8864009790136775
LM:	¿Alguna vez le tocó que no haya llegado el dinero,lm alguna vez tocó llegado dinero,Return and Reflections / Retorno y reflexiones,1,1.0
Ahí nos daban la mica cuando ya veníamos de regreso que íbamos pa México ya nos hablaban: “Julano de tal”,ahí daban mica veníamos regreso íbamos pa méxico hablaban julano tal,Return and Reflections / Retorno y reflexiones,-1,0.0
"AG:	Los pensamientos de, que se acuerda uno, cómo le jue, cómo lo trataron",ag pensamientos acuerda cómo jue cómo trataron,Return and Reflections / Retorno y reflexiones,-1,0.0
LM:	¿Se siente usted orgulloso de haber sido bracero,lm usted orgulloso haber sido bracero,Return and Reflections / Retorno y reflexiones,297,0.9279915176959819
"AM:	“Quizás por eso se va”, le dije, “y yo cuando me regreso a mi casa”, le dije, “yo no me llevo ni un popote que no sea mío",quizás va dije regreso casa dije llevo popote,Return and Reflections / Retorno y reflexiones,76,0.9828751469628569
"AM:	No pos yo siento orgullo porque yo, todo ese tiempo que anduve allá en Estados Unidos, yo trabajé con todo mi corazón y con todas las ganas",pos siento orgullo tiempo anduve allá unidos trabajé corazón todas ganas,Return and Reflections / Retorno y reflexiones,297,0.920766386828799
"AF:	Cobijas, pos unos dos cambios de ropa y una cobija, era lo que uno llevaba y total, y ya los tenía uno ahí listos, y llegaba el tren con treinta, treinta y cinco furgones de los que cargan, cargan, no era tren de pasajeros",af cobijas pos dos cambios ropa cobija llevaba total ahí listos llegaba tren treinta treinta cinco furgones cargan cargan tren pasajeros,Return and Reflections / Retorno y reflexiones,-1,0.0
Cuénteme de lo qué es la vida después de haber trabajado como bracero,cuénteme vida después haber trabajado bracero,Return and Reflections / Retorno y reflexiones,45,1.0
"AV:	Digo, por ejemplo de los que contrataban de los… Metían otra persona allegados al contratista y les echaban a otro",av digo ejemplo contrataban metían persona allegados contratista echaban,Return and Reflections / Retorno y reflexiones,414,0.9960663607264761
"Cómo no voy a estar orgulloso porque… De lo poquito que tengo, todavía es de eso, ¿verdad",cómo voy orgulloso poquito todavía verdad,Return and Reflections / Retorno y reflexiones,9,0.5699566756685857
"Se iban por ahí, pos sabe Dios, pos oiga, cada quien ya, pero era alguien con nosotros ya que mi gente y, o mi hermano, mi (ininteligible), y así le digo y esa es una historia, y al último, pos oiga, digo yo,  pos a  conocer, a conocer  pa antes…Y pos me siento orgulloso porque a mí nadie me trató mal",iban ahí pos sabe dios pos oiga cada alguien gente hermano ininteligible así digo historia último pos oiga digo pos conocer conocer pa antesy pos siento orgulloso nadie trató mal,Return and Reflections / Retorno y reflexiones,7,1.0
"Entonces pa que le tocara a usted la lista que iba, necesitaba de perdida unos cinco o seis días pa poder echar los que estaba adelante del que apenas había llegado",entonces pa tocara usted lista iba necesitaba perdida cinco seis días pa poder echar adelante apenas llegado,Return and Reflections / Retorno y reflexiones,66,0.13424376913554892
LM:	¿Alguna vez supo que no haya llegado el dinero o algo,lm alguna vez supo llegado dinero,Return and Reflections / Retorno y reflexiones,1,1.0
"A las cuatro de la mañana, pero ya para las doce del día ya estábanos otra vez de regreso",cuatro mañana doce día estábanos vez regreso,Return and Reflections / Retorno y reflexiones,-1,0.0
"Nomás que ahí entre los compañeros: “No, no te preocupes, al rato ya estamos de regreso en México”",nomás ahí compañeros preocupes rato regreso méxico,Return and Reflections / Retorno y reflexiones,-1,0.0
LM:	¿Se siente usted orgulloso de haber sido bracero,lm usted orgulloso haber sido bracero,Return and Reflections / Retorno y reflexiones,297,0.9760491216932168
"JA:	Pero cuando juimos si nos llevaron en avión, sí te digo, pero ya pa regreso yo creo ya salía más caro y ya no",ja juimos si llevaron avión digo pa regreso creo salía caro,Return and Reflections / Retorno y reflexiones,1,0.8505863713423695
"JJ:	Yo me sentí orgulloso de haber ido a trabajar un tiempo allá, (tocando puerta) ey",jj sentí orgulloso haber ido trabajar tiempo allá tocando puerta ey,Return and Reflections / Retorno y reflexiones,-1,0.0
"Pos, por luego dije: “No, pues yo vengo a trabajar un tiempo nada más y me regreso”",pos luego dije pues vengo trabajar tiempo regreso,Return and Reflections / Retorno y reflexiones,-1,0.0
LM:	¿Se siente usted orgulloso de haber sido bracero,lm usted orgulloso haber sido bracero,Return and Reflections / Retorno y reflexiones,297,0.966259523060606
"JG:	Pues sí, sí me siento orgulloso porque desde el momento en que fui a visitar a los güeros, ¿veá",jg pues siento orgulloso momento visitar güeros veá,Return and Reflections / Retorno y reflexiones,297,1.0
"Pero es que yo pensaba, yo mis pensamientos eran otros, mis pensamientos era, trabajar allá, mandar dinero aquí a mi esposa",pensaba pensamientos pensamientos trabajar allá mandar dinero aquí esposa,Return and Reflections / Retorno y reflexiones,12,1.0
"No, pos y al mismo tiempo digo no por ya tengo muchos años, bueno a veces platico yo con mis hijos: “Está consciente papá de que… “Sí”, dije, “ya viví toda mi vida y…  LM:	Ha visto muchos cambios tecnológicos",pos mismo tiempo digo años bueno veces platico hijos consciente papá dije viví toda vida lm visto cambios tecnológicos,Return and Reflections / Retorno y reflexiones,10,1.0
"LM:	¿Cómo fue su vida después de haber trabajado de bracero, don Isidro",lm cómo vida después haber trabajado bracero isidro,Return and Reflections / Retorno y reflexiones,45,1.0
"IA:	Mire, mi vida después de que ya trabajé de bracero fue como le digo, fue cuando ya nos venimos aquí a Durango",ia mire vida después trabajé bracero digo venimos aquí durango,Return and Reflections / Retorno y reflexiones,-1,0.0
LM:	¿Se siente usted orgulloso de haber sido bracero,lm usted orgulloso haber sido bracero,Return and Reflections / Retorno y reflexiones,297,0.9551179895505338
"LM:	Nomás mientras consiguió el…  JB:	Sí, íbamos tantos días, como tres semanas, teníamos que trabajar allá y nos dijo el patrón: “Miren, quiero que me ayuden otros dos, tres días”, dice, “porque la gente que viene a ayudarme no ha llegado”, dice, ”porque va a venir otra gente”",lm nomás mientras consiguió jb íbamos tantos días tres semanas trabajar allá dijo patrón miren quiero ayuden dos tres días dice gente viene ayudarme llegado dice va venir gente,Return and Reflections / Retorno y reflexiones,121,0.5660699029005859
"LM:	Después de haber trabajado como bracero, ya cuando regresó, cuénteme cómo fue la vida después de haber estado allá que regresó y que ya no fue",lm después haber trabajado bracero regresó cuénteme cómo vida después haber allá regresó,Return and Reflections / Retorno y reflexiones,45,1.0
"Y no, muy bien, fíjese que, me pongo yo a pensar que yo he tenido muy buena entendimiento en los pensamientos de, de, ¿cómo le quiero decir",bien fíjese pongo pensar buena entendimiento pensamientos cómo quiero decir,Return and Reflections / Retorno y reflexiones,-1,0.0
"JA:	Entonces, esa mica, pos esa la mandé de Vicente Guerrero pa Estados Unidos y fue por eso, llegué en la lista ahí, si no, había llegado mangas",ja entonces mica pos mandé vicente guerrero pa unidos llegué lista ahí si llegado mangas,Return and Reflections / Retorno y reflexiones,384,1.0
"LM:	Don José, cuénteme, ¿cómo fue su vida después de haber sido bracero ya cuando se regresa a México",lm josé cuénteme cómo vida después haber sido bracero regresa méxico,Return and Reflections / Retorno y reflexiones,45,1.0
LM:	¿Está usted orgulloso de haber sido bracero,lm usted orgulloso haber sido bracero,Return and Reflections / Retorno y reflexiones,297,0.941949642606264
LM:	¿Se siente usted orgulloso de haber sido bracero,lm usted orgulloso haber sido bracero,Return and Reflections / Retorno y reflexiones,297,0.925714858385221
Deseándonos un feliz regreso acá para nuestra tierra y agradecidos que habíamos ido a cooperar para la terminación de la guerra,deseándonos feliz regreso acá tierra agradecidos ido cooperar terminación guerra,Return and Reflections / Retorno y reflexiones,-1,0.0
"RA:	Me regreso de Durango, llego a la casa de mi tío y luego él ya pos ni me conocía ni yo a él",ra regreso durango llego casa tío luego pos conocía,Return and Reflections / Retorno y reflexiones,76,0.8722245507229086
"RA:	Pos siempre llevábanos nomás dos cambios, no podía uno acarrear con tantas cosas",ra pos siempre llevábanos nomás dos cambios podía acarrear tantas cosas,Return and Reflections / Retorno y reflexiones,-1,0.0
"Nomás lleva uno dos cambios, pa quitarse el que trae y ponerse el otro y lavarlo y así lo llevaba uno",nomás lleva dos cambios pa quitarse trae ponerse lavarlo así llevaba,Return and Reflections / Retorno y reflexiones,-1,0.0
"LM:	Don Rosendo, ¿cómo fue su vida después de haber trabajado como bracero",lm rosendo cómo vida después haber trabajado bracero,Return and Reflections / Retorno y reflexiones,45,1.0
"RA:	Sí, sí me siento orgulloso porque… (entrevista interrumpida)  LM:	Continuamos con la entrevista con el señor Rosendo Alarcón Carrera",ra siento orgulloso entrevista interrumpida lm continuamos entrevista señor rosendo alarcón carrera,Return and Reflections / Retorno y reflexiones,290,0.4989076787753765
"RC:	Hábleme de su vida después de haber trabajado como bracero, o sea, ¿cómo se sentía de ya no ser bracero, de estar trabajando en una cosa diferente",rc hábleme vida después haber trabajado bracero cómo sentía ser bracero trabajando cosa diferente,Return and Reflections / Retorno y reflexiones,-1,0.0
RC:	Entonces usted sí se siente orgulloso de haber sido bracero,rc entonces usted orgulloso haber sido bracero,Return and Reflections / Retorno y reflexiones,297,0.9627033536474544
Dice: “Vamos a Ohio conmigo y luego de regreso”,dice vamos ohio conmigo luego regreso,Return and Reflections / Retorno y reflexiones,-1,0.0
"DA:	No, siempre tenía que traer ahí un cambio o dos cambios",da siempre traer ahí cambio dos cambios,Return and Reflections / Retorno y reflexiones,301,0.6755393550078382
"Y me, como vio a su mamá y a su hermana en Tijuana, porque ellas vivían aquí en Santa Ana y salieron a verlo cuando él iba de regreso y le dijeron que querían que se viniera porque querían que la niña que yo estaba esperando viniera a nacer aquí para pues… La idea era de que arreglar papeles en un futuro y pues yo no estaba muy de acuerdo, pero tenía…  AM:	¿Por qué no",vio mamá hermana tijuana vivían aquí santa ana salieron verlo iba regreso dijeron querían viniera querían niña esperando viniera nacer aquí pues idea arreglar papeles futuro pues acuerdo,Return and Reflections / Retorno y reflexiones,-1,0.0
AR:	Donde no había derecho a pedir cambios o que uno se conformaba a lo que pagaban,ar derecho pedir cambios conformaba pagaban,Return and Reflections / Retorno y reflexiones,-1,0.0
"CB:	Estamos hablando de sus pensamientos y ahora, ¿qué fue la razón que lo hizo decidir contratarse como bracero y venirse para los Estados Unidos",cb hablando pensamientos ahora razón hizo decidir contratarse bracero venirse unidos,Return and Reflections / Retorno y reflexiones,348,0.30108407921708286
"Bueno, tendrían razón, no sé cómo hacen sus pensamientos ellos, pero a uno pos no le gustaba y lo tenía que hacer lo que ellos decían",bueno razón sé cómo hacen pensamientos pos gustaba hacer decían,Return and Reflections / Retorno y reflexiones,-1,0.0
"A ver, la vida después del trabajo, vamos a ver",ver vida después trabajo vamos ver,Return and Reflections / Retorno y reflexiones,45,1.0
"CB:	Y, ¿tiene una reflexión final sobre ser bracero, la experiencia de ser bracero",cb reflexión final ser bracero experiencia ser bracero,Return and Reflections / Retorno y reflexiones,-1,0.0
"Arregló su residencia permanente aquí en Estados Unidos pero por cuestiones de cambios en las leyes de este país, de Estados Unidos fue deportado sin haber hecho nada",arregló residencia permanente aquí unidos cuestiones cambios leyes país unidos deportado haber hecho,Return and Reflections / Retorno y reflexiones,30,0.5914788265659428
"Ahora vamos a hablar sobre la vida después de trabajar como bracero, ¿okay",ahora vamos hablar vida después trabajar bracero okay,Return and Reflections / Retorno y reflexiones,-1,0.0
AE:	¿Usted sabe si eso tuvo un impacto sobre la decisión de su papá de venirse,ae usted sabe si impacto decisión papá venirse,Return and Reflections / Retorno y reflexiones,10,1.0
"MS:	El impacto fue por lo que me platicaba, porque él me enseñaba inglés y cuando yo ya fui a la escuela, en la secundaria, a mí se me hizo muy fácil todo eso y siempre me gustó el idioma, fue lo que a mí más",ms impacto platicaba enseñaba inglés escuela secundaria hizo fácil siempre gustó idioma,Return and Reflections / Retorno y reflexiones,43,1.0
"Quince días de ida la carta y quince días de regreso, al mes tenía uno la contestación, sí",quince días ida carta quince días regreso mes contestación,Return and Reflections / Retorno y reflexiones,66,0.5017676870869576
"Y este, después mi señora donde me hizo recordar, fue esa vez: “La primera vez que fuiste y de regreso me platicaste que en las fronteras hay mucho de qué vivir",después señora hizo recordar vez primera vez regreso platicaste fronteras vivir,Return and Reflections / Retorno y reflexiones,117,0.21648038890315535
"Ni íbamos al agua y ahí él había llegado de Estados Unidos, ya ve que piensa uno que llevan las manos, las bolsas llenas de dinero y todas se vuelan cuando un muchacho de aquí de Estados Unidos de… y uno tonto, pos me casé tan chica, de dieciséis años",íbamos agua ahí llegado unidos piensa llevan manos bolsas llenas dinero todas vuelan muchacho aquí unidos tonto pos casé tan chica dieciséis años,Return and Reflections / Retorno y reflexiones,44,0.576561617520116
"AC:	Bueno, hábleme un poquito nada más de su vida después de bracero y, ¿qué significa para usted ser bracero",ac bueno hábleme poquito vida después bracero significa usted ser bracero,Return and Reflections / Retorno y reflexiones,45,1.0
"JA:	Pos yo para mí fue bien, porque pos uno viene a trabajar y se beneficia de eso, es todo lo que…  AC:	Y, ¿cambió mucho su vida después de eso",ja pos bien pos viene trabajar beneficia ac cambió vida después,Return and Reflections / Retorno y reflexiones,250,0.47182155637683354
AC:	¿Cambió su vida después de ser bracero,ac cambió vida después ser bracero,Return and Reflections / Retorno y reflexiones,250,1.0
"Yo por ejemplo cuando ya paré de trabajar, oiga, yo ya corría con la escalera cincuenta y seis, destendida y brincaba bordos y me hacía cambios yo solo sin esperar que fueran a cambiarme",ejemplo paré trabajar oiga corría escalera cincuenta seis destendida brincaba bordos hacía cambios solo esperar cambiarme,Return and Reflections / Retorno y reflexiones,-1,0.0
"JA:	No me siento mal, me siento bien, me siento orgulloso",ja siento mal siento bien siento orgulloso,Return and Reflections / Retorno y reflexiones,297,1.0
"VM:	Ya vamos a terminar, pero sí me gustaría saber sobre su vida después de trabajar como bracero",vm vamos terminar gustaría saber vida después trabajar bracero,Return and Reflections / Retorno y reflexiones,45,1.0
"AB:	Los cambios de vía, cuando se iba a entufar un tren pa darle pase a otro más urgente, entonces ellos los trenistas, este, que estuviera el riel sin atraque",ab cambios vía iba entufar tren pa darle pase urgente entonces trenistas riel atraque,Return and Reflections / Retorno y reflexiones,14,0.6085810988735277
"Si se marcaba mucho y lo dejábanos, pos a veces el rielista no, y se detenía el tren y así estábanos nosotros al pendiente pa que tuvieran uso los cambios de vía y nos pasamos la noche",si marcaba dejábanos pos veces rielista detenía tren así estábanos pendiente pa uso cambios vía pasamos noche,Return and Reflections / Retorno y reflexiones,14,0.11307961843428824
"En un, switches hay uno, switches, cambios de vía y otros allá y así y turneamos, otra noche les toca a los fulanos",switches switches cambios vía allá así turneamos noche toca fulanos,Return and Reflections / Retorno y reflexiones,75,1.0
"MB:	No, pues no, de regreso a México nos llevaron en buses también",mb pues regreso méxico llevaron buses,Return and Reflections / Retorno y reflexiones,-1,0.0
"MS:	Pues, el último parte es una reflexión final de usted, ¿cómo se siente de ser bracero, qué significa para usted esa palabra y ese trabajo",ms pues último parte reflexión final usted cómo ser bracero significa usted palabra trabajo,Return and Reflections / Retorno y reflexiones,202,0.25043237725059764
"Y ya regresó cuando ya mi niña ya estaba grandecita, ya tenía dos años cuando él regreso",regresó niña grandecita dos años regreso,Return and Reflections / Retorno y reflexiones,98,0.4646442635689861
"Y ya regresó cuando ya mi niña ya estaba grandecita, ya tenía dos años cuando él regreso",regresó niña grandecita dos años regreso,Return and Reflections / Retorno y reflexiones,98,0.5684759188888511
"AG:	Y ése es un orgullo de mi esposa, que me supo detener la frieguecita",ag ése orgullo esposa supo detener frieguecita,Return and Reflections / Retorno y reflexiones,12,1.0
"Pero ni modo, le dije: “Mira, ése es un orgullo de, de cada uno, sabérsela llevar”",modo dije mira ése orgullo cada sabérsela llevar,Return and Reflections / Retorno y reflexiones,297,1.0
"AG:	Bueno, mira, como volviendo a lo mismo, yo me siento con un orgullo, por la parte de que todavía vivo en este mundo, aunque sea manqueando(",ag bueno mira volviendo mismo siento orgullo parte todavía vivo mundo aunque manqueando,Return and Reflections / Retorno y reflexiones,297,1.0
Hábleme de su vida después de haber trabajado como bracero,hábleme vida después haber trabajado bracero,Return and Reflections / Retorno y reflexiones,45,0.9292706072162206
"Ya nomás que me dijeran: “Pos ya está curada”, y yo me regreso de vuelta",nomás dijeran pos curada regreso vuelta,Return and Reflections / Retorno y reflexiones,115,0.5577015253331137
"JB:	Bueno, mi vida, mi vida nunca tuvo cambios",jb bueno vida vida nunca cambios,Return and Reflections / Retorno y reflexiones,250,1.0
"MG:	Sí, me agarraron, me agarró La Migra a mí y él se fue a buscarme, a ver si ya había salido y ya de regreso lo agarraron también",mg agarraron agarró migra buscarme ver si salido regreso agarraron,Return and Reflections / Retorno y reflexiones,-1,0.0
"Y duramos, duramos dos meses de novios nada más y ya después cuando nos íbamos a ir nosotros de regreso a Guanajuato, pues ya no me dejó ir",duramos duramos dos meses novios después íbamos ir regreso guanajuato pues dejó ir,Return and Reflections / Retorno y reflexiones,123,0.3292019985453891
"MM:	Pues él dice que siente, él siente un orgullo, que Dios le dio licencia de venir a trabajar para acá",mm pues dice orgullo dios dio licencia venir trabajar acá,Return and Reflections / Retorno y reflexiones,-1,0.0
Y entonces dice él que él siente orgullo de cuando él pudo haber venido a trabajarles a Estados Unidos,entonces dice orgullo pudo haber venido trabajarles unidos,Return and Reflections / Retorno y reflexiones,-1,0.0
"VM:	Como, ¿impactó su vida el que su papá se haya venido de bracero",vm impactó vida papá venido bracero,Return and Reflections / Retorno y reflexiones,10,1.0
Ya ahí le dije: “Ahorita vengo al rato regreso”,ahí dije ahorita vengo rato regreso,Return and Reflections / Retorno y reflexiones,-1,0.0
Háblame de su vida después de haber sido trabajador de bracero,háblame vida después haber sido trabajador bracero,Return and Reflections / Retorno y reflexiones,45,1.0
"Y se va y iba tentando las lechugas que veía que a la mejor las iba dejando, por eso iba, iba yo recio, pero yo iba haciendo lo último pa,  con el regreso juntarme con él",va iba tentando lechugas veía mejor iba dejando iba iba recio iba haciendo último pa regreso juntarme,Return and Reflections / Retorno y reflexiones,128,0.5234330294998254
"Se empezó a poner difícil para eso y ya, o sea, empezó a haber cambios, que ya no iba a haber otra vez nada de eso",empezó poner difícil empezó haber cambios iba haber vez,Return and Reflections / Retorno y reflexiones,301,0.7178306508483234
"MS:	Pos a ver, platíqueme un poco de su vida después de bracero",ms pos ver platíqueme vida después bracero,Return and Reflections / Retorno y reflexiones,45,1.0
Pero llegaba a ver si ya había llegado dinero para que le pagaran este…  AC:	Lo que se le debía,llegaba ver si llegado dinero pagaran ac debía,Return and Reflections / Retorno y reflexiones,1,1.0
"TO:	No, no hubo cambios sino que el único cambio que hubo fue económico porque la gente vivía mejor que la que no salía",cambios sino único cambio económico gente vivía mejor salía,Return and Reflections / Retorno y reflexiones,-1,0.0
Hábleme de su vida después de haber trabajado como bracero,hábleme vida después haber trabajado bracero,Return and Reflections / Retorno y reflexiones,45,1.0
"Me dijo: “Me siento mal, me siento mal”, dice, “yo creo que mejor me regreso, nos regresamos para atrás”",dijo siento mal siento mal dice creo mejor regreso regresamos atrás,Return and Reflections / Retorno y reflexiones,-1,0.0
"Y cuando una vez que yo iba a llevar el canasto de las tortillas para las personas que les estábamos haciendo sus tortillitas entonces me dijo el señor: “Mira, mira, mira”, dice, “ha llegado un troque con maíz”",vez iba llevar canasto tortillas personas haciendo tortillitas entonces dijo señor mira mira mira dice llegado troque maíz,Return and Reflections / Retorno y reflexiones,50,0.44980821969795215
Entonces no sé de qué partes del país haigan llegado,entonces sé partes país haigan llegado,Return and Reflections / Retorno y reflexiones,-1,0.0
Ganaban poquito y manda el dinerito y mi mamá estaba nomás que: “No ha llegado el dinerito y hay que esperar”,ganaban poquito manda dinerito mamá nomás llegado dinerito esperar,Return and Reflections / Retorno y reflexiones,31,0.8348723672274122
"Pero el niño murió y dijo: “No, pos me regreso pa atrás pos aquel ya vine y ya también”",niño murió dijo pos regreso pa atrás pos aquel vine,Return and Reflections / Retorno y reflexiones,-1,0.0
Porque en ese tiempo casi no venía mucha gente pos les daba mucho gusto que estábamos ya ahí de regreso,tiempo casi venía mucha gente pos daba gusto ahí regreso,Return and Reflections / Retorno y reflexiones,2,1.0
JA:	Pos a mí bracero significa pos una palabra bien de que pos es un orgullo para uno que vino en ese tiempo y junté mi dinero para casarme,ja pos bracero significa pos palabra bien pos orgullo vino tiempo junté dinero casarme,Return and Reflections / Retorno y reflexiones,12,1.0
Voy para México y me regreso y mi hermano allí vive y como quiera años atrás salía yo para otros lugares a trabajar y me quitaban el trabajo o ya no me convenía y volvía allí mismo,voy méxico regreso hermano allí vive quiera años atrás salía lugares trabajar quitaban trabajo convenía volvía allí mismo,Return and Reflections / Retorno y reflexiones,-1,0.0
